context_id|question|answer|Type|侧重逻辑 (Rationale)
35|Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?|The Saimaa Gesture|Comparative|结构与语义的平衡博弈
36|Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?|David Lee Roth|Comparative|结构与语义的平衡博弈
37|Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?|Nassau County|Retrieval|语义优先，兼顾实体锚点
38|The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the New South Wales Police and Mafia, The Honoured Society, is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all of which country?|Australia|Retrieval|语义优先，兼顾实体锚点
39|The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?|California|Reasoning|结构主导，多跳路径发现
40|The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?|Dessau|Reasoning|结构主导，多跳路径发现
41|Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula?|Roman Catholic|Retrieval|语义优先，兼顾实体锚点
42|Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?|The Joshua Tree|Reasoning|结构主导，多跳路径发现
43|Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?|Ulster County|Retrieval|语义优先，兼顾实体锚点
44|"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?"""|Tammy Wynette|Reasoning|结构主导，多跳路径发现
45|Who was born first, Francis Nethersole or Elizabeth Stuart?|Sir Francis Nethersole|Comparative|结构与语义的平衡博弈
46|What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?|ingredients in beer|Retrieval|语义优先，兼顾实体锚点
47|Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?|Dennis Howard Marks|Reasoning|结构主导，多跳路径发现
48|What male actor starred in The Messenger?|Robert Sheehan|Retrieval|语义优先，兼顾实体锚点
49|Are Gin and tonic and Paloma both cocktails based on tequila?|no|Comparative|结构与语义的平衡博弈
50|Who is older Glenn Hughes or Ross Lynch?|Glenn Hughes|Comparative|结构与语义的平衡博弈
51|"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?"|March 28, 1941|Reasoning|结构主导，多跳路径发现
52|The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?|standard gauge track|Retrieval|语义优先，兼顾实体锚点
53|In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?|Sex and the City|Retrieval|语义优先，兼顾实体锚点
54|"Lee Jun-fan played what character in ""The Green Hornet"" television series?"|Kato|Retrieval|语义优先，兼顾实体锚点
55|The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?|England|Reasoning|结构主导，多跳路径发现
56|A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?|Province of Buenos Aires|Reasoning|结构主导，多跳路径发现
57|Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?|Robert Zemeckis|Reasoning|结构主导，多跳路径发现
58|The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?|1932|Retrieval|语义优先，兼顾实体锚点
59|"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?"|nine|Reasoning|结构主导，多跳路径发现
60|Which band has more members, Saint Motel or Curve?|Saint Motel|Comparative|结构与语义的平衡博弈
61|"""Funnybot"" is the second episode of the fifteenth season of which American animated television series, created by Trey Parker and Matt Stone?"|South Park|Retrieval|语义优先，兼顾实体锚点
62|Which private research university is located in Chestnut Hill, Massachusetts Boston College or Stanford University?|Boston College|Comparative|结构与语义的平衡博弈
63|"What American stage, film, and television actor  who also appeared in a large number of musicals, played Samson in the 1949 film ""Samson and Delilah""."|Victor John Mature|Retrieval|语义优先，兼顾实体锚点
64|Iqaluit Airport and Canadian North are based out of what country?|Canada|Retrieval|语义优先，兼顾实体锚点
65|In what political party was the man who officially opened he Royal Spa Centre in 1972?|Conservative|Reasoning|结构主导，多跳路径发现
66|Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?|Salaam Bombay|Reasoning|结构主导，多跳路径发现
67|Are both Tim McIlrath and Spike Slawson American punk rock musicians?|yes|Comparative|结构与语义的平衡博弈
68|"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?"|Zooey Deschanel|Reasoning|结构主导，多跳路径发现
69|"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age?"|15|Reasoning|结构主导，多跳路径发现
70|"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?"|Keyshia Cole|Reasoning|结构主导，多跳路径发现
71|What profession does Am Rong and Alexandre Rockwell have in common?|filmmaker|Comparative|结构与语义的平衡博弈
72|El Nuevo Cojo and Golf Magazine are both special interest publications but which one is owned by Time Inc?|Golf Magazine|Comparative|结构与语义的平衡博弈
73|Who funds the bowling team that includes the school bus driver for Springfield Elementary School?|Mr. Burns|Reasoning|结构主导，多跳路径发现
74|What city are George Washington University Hospital and MedStar Washington Hospital Center located in?|Washington, D.C.|Comparative|结构与语义的平衡博弈
75|what is the connection between Peter O'Meara and Norman Dike?|Band of Brothers|Reasoning|结构主导，多跳路径发现
76|"What author has contributed to such works as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being being associated with Dysteleology?"|Christopher Hitchens|Retrieval|语义优先，兼顾实体锚点
77|Who developed the prototype pacemaker used by the 34th President of the USA?|R Adams Cowley|Reasoning|结构主导，多跳路径发现
78|Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?|Dennis Publishing|Reasoning|结构主导，多跳路径发现
79|Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?|Garth Brooks|Reasoning|结构主导，多跳路径发现
80|Hate to Feel is the tenth track on what Alice in Chains' album that peaked as number six on the Billboard 200?|Dirt|Reasoning|结构主导，多跳路径发现
81|The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?|The Fantastic The|Retrieval|语义优先，兼顾实体锚点
82|What year was the winner of the 2016 Marrakesh ePrix born?|1988|Reasoning|结构主导，多跳路径发现
83|South Korean actor Kim Yool-ho starred in what 2016 movie directed by Yeon Sang-ho Yeon Sang-ho and starring actors Gong Yoo, Jung Yu-mi, and Ma Dong-seok?|Train to Busan|Retrieval|语义优先，兼顾实体锚点
84|According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?|722,664|Reasoning|结构主导，多跳路径发现
85|What actor in the film D.C. Cab also had a role in the TV series Barney Miller?|Max Gail|Reasoning|结构主导，多跳路径发现
86|Which industry do Richard Hawley and Chicago's Catherine belong to?|rock band|Comparative|结构与语义的平衡博弈
87|Are Pam Veasey and Jon Jost both American?|yes|Comparative|结构与语义的平衡博弈
88|Maurice Hines and his brother were famous for what?|dancer Gregory Hines|Reasoning|结构主导，多跳路径发现
89|Are the New Orleans Outfall Canals the same length as the Augusta Canal?|yes|Comparative|结构与语义的平衡博弈
90|In which stadium do the teams owned by Myra Kraft's husband play?|Gillette Stadium|Reasoning|结构主导，多跳路径发现
91|What southern California based band covered Blue Öyster Cult's Godzilla?|Fu Manchu|Retrieval|语义优先，兼顾实体锚点
92|The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?|CEO of Lionsgate UK & Europe|Reasoning|结构主导，多跳路径发现
93|"an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?"|Swoosie Kurtz|Retrieval|语义优先，兼顾实体锚点
94|What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?|Lullwater Estate|Reasoning|结构主导，多跳路径发现
95|Who invented the type of script used in autographs?|the Sumerians|Retrieval|语义优先，兼顾实体锚点
96|Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?|17%|Reasoning|结构主导，多跳路径发现
97|The Boren-McCurdy proposals were partially brought about by which Oklahoma politician in 1992?|David Lyle Boren|Retrieval|语义优先，兼顾实体锚点
98|The Thoen Stone is on display at a museum in what county?|Lawrence County|Retrieval|语义优先，兼顾实体锚点
99|Is Children's National Medical Center or MedStar Washington Hospital Center the largest private hospital in Washington, D.C.?|MedStar Washington Hospital Center|Comparative|结构与语义的平衡博弈
100|Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?|Great Britain|Comparative|结构与语义的平衡博弈
101|The airline operating in Whitehorse, Yukon handled how many passengers in 2012?|294,000|Retrieval|语义优先，兼顾实体锚点
102|What State has a Disney Resort & Spa that is a beachside hotel, resort and vacation destination offering complimentary children's activities and programs and that Djuan Rivers was a General Manager at?|Hawaii|Reasoning|结构主导，多跳路径发现
103|Are Wenling and Xinzheng both in China?|yes|Comparative|结构与语义的平衡博弈
104|What is the birth date of the coach of the 2014-15 Michigan Wolverines men's basketball team?|February 5, 1953|Reasoning|结构主导，多跳路径发现
105|"Which organization presents the award in which Chris Noonan was nominated for his work in ""Babe?"""|Academy of Motion Picture Arts and Sciences|Reasoning|结构主导，多跳路径发现
106|Where is the base of one of the three main British intelligence agencies?|Cheltenham|Reasoning|结构主导，多跳路径发现
107|When a Man Falls in Love, is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and which South Korean actor, born on ?|July 5, 1984|Reasoning|结构主导，多跳路径发现
108|What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?|Target Corporation|Reasoning|结构主导，多跳路径发现
109|"Which English actor of stage, film and television from the 1978 BBC drama ""Pennies From Heaven"" appeared in the 2006 BBC Four television play ""Kenneth Williams: Fantabulosa!?"""|Cheryl Campbell|Reasoning|结构主导，多跳路径发现
110|Who hosted both Miss USA 1968 and The Price Is Right?|Bob Barker|Reasoning|结构主导，多跳路径发现
111|What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series?|F.E.A.R.|Reasoning|结构主导，多跳路径发现
112|Close to the Enemy starred the English actor known as Ash Morgan in what BBC series?|Hustle|Reasoning|结构主导，多跳路径发现
113|The Bass Rock Lighthouse was next to what Castle?|Tantallon Castle|Retrieval|语义优先，兼顾实体锚点
114|Gülhane Park and Zografeion Lyceum, are located in which country?|Turkey|Comparative|结构与语义的平衡博弈
115|What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?|10 Rillington Place|Reasoning|结构主导，多跳路径发现
116|What genre of music is the solo artist that contributed to Real Damage a variant of?|synth-pop|Reasoning|结构主导，多跳路径发现
117|Jake David Shapiro was best know for being the screenwriter of a film directed by who?|Roger Christian|Reasoning|结构主导，多跳路径发现
118|"What book contains a poem which, along with ""Beowulf"" and the ""Anglo-Saxon Chronicle"", preserves a legendary list of the kings of the Angles?"|Exeter Book|Reasoning|结构主导，多跳路径发现
119|Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?|the Desert Fox|Reasoning|结构主导，多跳路径发现
120|What state does Sang-Wook Cheong work as a materials scientist?|New Jersey|Retrieval|语义优先，兼顾实体锚点
121|What type of vegetation does Kniphofia and Baptisia have in common?|plant|Comparative|结构与语义的平衡博弈
122|Californian rock band Lit recorded A Place in the Sun in 1995, but what's their best known song?|My Own Worst Enemy|Retrieval|语义优先，兼顾实体锚点
123|Gary Harrison, began his career in the 1970s and has written over how many major-label recorded songs including several number-one hits, another artist who have recorded his work include Bryan White, an American country music artist?|300|Retrieval|语义优先，兼顾实体锚点
124|The 1976 German Grand Prix was won by a driver who retired in what year?|1979|Reasoning|结构主导，多跳路径发现
125|What event at the Asian Junior Athletics Championships has men and women competing at the same time?|3000 metres steeplechase|Reasoning|结构主导，多跳路径发现
126|Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?|Anna Kournikova|Reasoning|结构主导，多跳路径发现
127|What is the length of the River which has Wild Horse Creek as a tributary ?|375 mi long|Reasoning|结构主导，多跳路径发现
128|Are Manhattan West and Singer Building both projects in New York?|yes|Comparative|结构与语义的平衡博弈
129|Who is the American internet entrepreneur who founded the company featured on 24 Hours on Craigslist?|Craig Newmark|Reasoning|结构主导，多跳路径发现
130|Between two tennis players Kim Clijsters and Mary Pierce, who is older?|Mary Pierce|Comparative|结构与语义的平衡博弈
131|Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?|St. Olaf College|Reasoning|结构主导，多跳路径发现
132|Hot Coffee, Mississippi sometimes shares a zipcode with a nearby city with what population at the 2010 census?|2,586|Reasoning|结构主导，多跳路径发现
133|Jo Ann Terry won the 80m hurdles event at what Sao Paulo-based event from 1963?|Pan American Games|Reasoning|结构主导，多跳路径发现
134|Pearl Lowe and Alison Goldfrapp, is of which nationality?|English|Comparative|结构与语义的平衡博弈
135|Which British company whose majority of its business interests are in Asia was related to the London Based Trading house Matheson & Company?|Jardine Matheson|Reasoning|结构主导，多跳路径发现
136|What man, also known as mi Sde-Or, created a military self-defense system developed for the Israel Defense Forces?|"Emrich ""Imi"" Lichtenfeld"|Retrieval|语义优先，兼顾实体锚点
137|Do musicians Robert Fleischman and Jimmy Barnes have the same nationality?|no|Comparative|结构与语义的平衡博弈
138|What is the name of this American multinational corporation that provides IT services, headquartered in New Jersey, that acquired Mirabeau?|Cognizant|Reasoning|结构主导，多跳路径发现
139|When was Fannie Lee Chaney's son born?|May 30, 1943|Reasoning|结构主导，多跳路径发现
140|The Canada Memorial in Green Park, London, United Kingdom, commemorates members of the Canadian Forces killed during the First and Second World Wars, the memorial was the result of lobbying and fund raising, much of it in Canada, by the former Canadian media tycoon Conrad Moffat Black, his title is what, of this British former newspaper publisher and author?|Lord Black of Crossharbour|Retrieval|语义优先，兼顾实体锚点
141|WNP-3 and WNP-5 were constructed by the agency formed in which year?|1957|Reasoning|结构主导，多跳路径发现
142|he Central Harbourfront is a waterfront site it is the result of Central and Wan Chai Reclamation, and it sits to the east of the International Finance Centre (IFC), a skyscraper and an integrated commercial development on the waterfront of the Central District, of which territory?|Hong Kong|Reasoning|结构主导，多跳路径发现
143|What city does Bundestag and Reichstag building have in common?|Berlin|Comparative|结构与语义的平衡博弈
144|Which musician, Edwyn Collins or Jimmie Ross, played the bass guitar?|Jimmie Ross|Comparative|结构与语义的平衡博弈
145|what is the 3112 acre Pennsylvania state park that took over 11,000 to make due to the wave action of lake Erie called?|Presque Isle|Retrieval|语义优先，兼顾实体锚点
146|Teri W. Odom is a member of a scientific journal first published in 2007 by who?|the American Chemical Society|Reasoning|结构主导，多跳路径发现
147|What forensic psychiatrist consulted on numbers cases including one for a contract killer associated with the DeCavalcante crime family?|Park Dietz|Reasoning|结构主导，多跳路径发现
148|"Which American singer-songwriter known as ""the Caruso of Rock"", recorded on the Monument Records label and had hits such as ""Pretty One,"" and ""Uptown""?"|Roy Orbison|Retrieval|语义优先，兼顾实体锚点
149|"The central character of ""The Adventures of Brer Rabbit"" was later adapted into which 1946 Walt Disney Company motion picture film?"|"""Song of the South""."|Reasoning|结构主导，多跳路径发现
150|Abraham Weinberg was a suspect in the killing of which Irish-American hitman?|"Vincent ""Mad Dog"" Coll"|Reasoning|结构主导，多跳路径发现
151|Benjamin Halfpenny was a footballer for a club that plays its home matches where?|Select Security Stadium|Reasoning|结构主导，多跳路径发现
152|The 2000–01 NBA season was the Jazz's 27th season in the National Basketball Association, and 22nd season in Salt Lake City, Utah, after the retirement of Jeff Hornacek, the Jazz signed free agents John Starks, and who?|Danny Manning|Reasoning|结构主导，多跳路径发现
153|What was population of the city where the Dutch retired footballer Foeke Booy born?|108,249|Reasoning|结构主导，多跳路径发现
154|In what year was the company that co-developed and distributed the BlackBerry DTEK60 founded?|1984|Reasoning|结构主导，多跳路径发现
155|Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?|Isabelle Mergault|Reasoning|结构主导，多跳路径发现
156|Mookychick is an independent daily online magazine and community with more than 100,000 readers a month and over 5,000 forum members, content includes analysis of current sociopolitical events, social and cultural trends, alternative fashion, movies, books, music and arts and crafts from a feminist perspective, in contrast with feminist publications and communities such as which women's lifestyle magazine that is published six times a year, and is published by Debbie Stoller and Laurie Henzel?|BUST|Reasoning|结构主导，多跳路径发现
157|Der Mond was composed by the man who was best known for what cantata?|Carmina Burana|Reasoning|结构主导，多跳路径发现
158|Mackenzie Davis appeared in the 2013 Canadian romantic comedy film directed by whom?|Michael Dowse|Reasoning|结构主导，多跳路径发现
159|The Developing Communities Project's first executive director was which former President?|Barack Hussein Obama II|Reasoning|结构主导，多跳路径发现
160|Jane's Addiction and Weeping Willows, play which genre of music?|rock|Comparative|结构与语义的平衡博弈
161|Throne of Glass is a young adult high fantasy novel series, by which bestselling American fantasy author?|Sarah Janet Maas|Retrieval|语义优先，兼顾实体锚点
162|"The largest ship in the ""Imperator"" class ocean liners had how many gross register tons?"|56,551|Reasoning|结构主导，多跳路径发现
163|Axle Whitehead was a part of an American comedy-drama television series that is a remake of the British series with the same name set in what city?|Chicago|Reasoning|结构主导，多跳路径发现
164|Were both Joseph Roth and Cid Corman authors?|yes|Comparative|结构与语义的平衡博弈
165|What was the event that Afghanistan competed in for the first time in 2017 officially known as?|the 23rd Summer Deaflympics|Reasoning|结构主导，多跳路径发现
166|Who was the director of the 2001 American romantic comedy film written by Marc Klein in which Lucy Gordon had a small role?|Peter Chelsom|Reasoning|结构主导，多跳路径发现
167|What hamlet and census designated place was the location of the only pay-per-view Bunkhouse Stampede?|Uniondale, New York|Reasoning|结构主导，多跳路径发现
168|La Barredora was a gang that declared war on the leader of the cartel based where?|Sinaloa|Reasoning|结构主导，多跳路径发现
169|What year did the chairman of the Jenkins Commission die?|2003|Reasoning|结构主导，多跳路径发现
170|Who was born first, Odysseas Elytis or Cornel West?|Odysseas Elytis|Comparative|结构与语义的平衡博弈
171|"""Let Me Out"" is a song released as the fifth single from what band's fifth studio album ""Humanz"" which was recorded in London, Paris, New York City, Chicago, and Jamaica ?"|alternative rock virtual band Gorillaz|Reasoning|结构主导，多跳路径发现
172|Up to how far off can the Deal Timeball be from Coordinated Universal Time?|0.9 s.|Retrieval|语义优先，兼顾实体锚点
173|Superheaven and Oceansize, are bands of which shared genre?|rock|Comparative|结构与语义的平衡博弈
174|What nationality was a  historical drama film directed by?|Argentine|Retrieval|语义优先，兼顾实体锚点
175|Who has more scope of profession, Richard Ford or Robert E. Howard?|Richard Ford|Comparative|结构与语义的平衡博弈
176|The American Aircraft Penetrator was modified from a helicopter produced by what nation's military?|United States|Reasoning|结构主导，多跳路径发现
177|Canton Road Station was a planned railway station on the Kowloon Southern Link of West Rail Line, that was to run beneath a large shopping mall located where?|Tsim Sha Tsui, Hong Kong|Reasoning|结构主导，多跳路径发现
178|What South Korean sitcom starred a South Korean singer and actress who began her music career at the age of 15?|The Producers|Reasoning|结构主导，多跳路径发现
179|Ghostbusters is a song written and recorded by Ray Parker Jr. as the theme song for a movie starring a Canadian-American actor who was an original member of the Not Ready for Prime Time Players on what show?|Saturday Night Live|Reasoning|结构主导，多跳路径发现
180|Gelatine was an airship piloted on September 19, 1905 by a pioneer American aviator and what?|barnstormer|Retrieval|语义优先，兼顾实体锚点
181|Which movie was released first, The Hunchback of Notre Dame or Saludos Amigos?|Saludos Amigos|Comparative|结构与语义的平衡博弈
182|In what country did the repression of citizens by a dictator during the period of 1973 to 1990 occur?|Chile|Retrieval|语义优先，兼顾实体锚点
183|The mother of the vice chair of Hillary Clinton's 2016 campaign for President is the director of what institue?|Institute of Muslim Minority Affairs|Reasoning|结构主导，多跳路径发现
184|Michael Ralph DeVito (born June 10, 1984) is a former American football defensive end, he  the National Football League (NFL), DeVito attended high school at Nauset Regional High School an NEASC accredited high school located in North Eastham, in which state?|Massachusetts|Reasoning|结构主导，多跳路径发现
185|"""Apocalypic"" is a song sung by Lizzy Hale from which group?"|Halestorm|Reasoning|结构主导，多跳路径发现
186|Ted Sutton plays Sergeant Cunningham in a2002 film that stars Mel Gibson as what character?|Graham Hess|Reasoning|结构主导，多跳路径发现
187|Who is the former professional tennis player from Italy, Chris Evert or Mara Santangelo?|Mara Santangelo|Comparative|结构与语义的平衡博弈
188|Who directed a film that included Sarah Manninen?|Martha Coolidge|Reasoning|结构主导，多跳路径发现
189|The republic with the smallest population of all the members of the Council of Europe is one of few places in Europe where a species of beetle cannot be found, that wew originally described in 1809 by whom?|Panzer|Reasoning|结构主导，多跳路径发现
190|At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?|6,960|Reasoning|结构主导，多跳路径发现
191|How many German scientists, engineers, and technicians, were recruited in post-Nazi Germany as a result of the clandestine operation where Arthur Rudolph became one of the main developers of the U.S. ?space program|more than 1,600|Reasoning|结构主导，多跳路径发现
192|Marion is approximately 50 mi north of a city that is the third-most populous what in the U.S.?|state capital|Reasoning|结构主导，多跳路径发现
193|Jayantabhai Ki Luv Story includes a lead role for the film actress and model who is a native of what city?|Bihar|Reasoning|结构主导，多跳路径发现
194|Which is currently more valuable, Temagami-Lorrain Mine or Meadowbank Gold Mine?|Meadowbank Gold Mine|Comparative|结构与语义的平衡博弈
195|St James Street appears as a segment of Whitecross Street on the 1610 map of the Monmouth by an English historian best known as a mapmaker of what perior?|Stuart period|Reasoning|结构主导，多跳路径发现
196|The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of what?|2,523|Reasoning|结构主导，多跳路径发现
197|Which city is the American rock band, that released their album on March 19, 2012, from?|Albuquerque, New Mexico|Reasoning|结构主导，多跳路径发现
198|The Rossendale Free Press serves the town how far north of Manchester?|19 mi|Reasoning|结构主导，多跳路径发现
199|Which american president's father was a farmer and he was a former US representative from NY?|Millard Fillmore|Retrieval|语义优先，兼顾实体锚点
200|The End of the Innocence was a single by which former member of the Eagles?|Donald Hugh Henley|Retrieval|语义优先，兼顾实体锚点
201|What suburban county on Long Island and the easternmost county in the U.S. state of New York is the location of a village called Lindenhurst?|Suffolk County|Retrieval|语义优先，兼顾实体锚点
202|Which Lightweight division mixed martial artist founded the American Combat Association?|Kamal Shalorus|Retrieval|语义优先，兼顾实体锚点
203|Which video game producers worked with an English film director to produce a film about sports?|Rockstar Games|Reasoning|结构主导，多跳路径发现
204|Who won a Nobel Prize in 1943 and is associated with Max Volmer?|Otto Stern|Retrieval|语义优先，兼顾实体锚点
