context_id|question|answer|Type|侧重逻辑 (Rationale)
12|Where did the form of music played by Die Rhöner Säuwäntzt originate?|United States|Retrieval|极度依赖语义理解，挖掘概念定义（音乐形式/起源）。
13|In which American football game was Malcolm Smith named Most Valuable player?|Super Bowl XLVIII|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
14|What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?|US 60|Retrieval|侧重高频共现证据与语义匹配，定位具体地理实体及别名。
15|The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?|2006|Relational|最高结构优先级，用于多跳路径发现（Film -> Actor -> Award Date）。
16|What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical?|Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.|Relational|最高结构优先级，用于多跳路径发现（Musical -> Band -> Members）。
17|"Human Error"" is the season finale of the third season of a tv show that aired on what network?"|Fox|Relational|最高结构优先级，用于多跳路径发现（Episode -> Show -> Network）。
18|"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?"|2017|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（专辑发布年份）。
19|American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?|Nevada|Relational|最高结构优先级，用于多跳路径发现（Opponent -> Previous Role -> Location）。
20|Which state does the drug stores, of which the CEO is Warren Bryant, are located?|Hawaii|Relational|最高结构优先级，用于多跳路径发现（CEO -> Company -> Location）。
21|Which  American politician did Donahue replaced|Kelli Ward|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（继任关系）。
22|Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?|The Wolfhounds|Comparative|平衡策略：用于比较两个或多个实体属性（founded first）。
23|How old is the female main protagonist of Catching Fire?|16-year-old|Relational|最高结构优先级，用于多跳路径发现（Book -> Protagonist -> Age）。
24|Chang Ucchin was born in korea during a time that ended with the conclusion of what?|World War II|Relational|最高结构优先级，用于多跳路径发现（Person -> Era -> End Event）。
25|Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?|Todd Phillips|Relational|最高结构优先级，用于多跳路径发现（Location -> Film -> Director）。
26|New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?|Carol Lawrence|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
27|Were Pavel Urysohn and Leonid Levin known for the same type of work?|no|Comparative|平衡策略：用于比较两个或多个实体属性（same type of work）。
28|Are both The New Pornographers and Kings of Leon American rock bands?|no|Comparative|平衡策略：用于比较两个或多个实体属性（Are both...）。
29|750 7th Avenue and 101 Park Avenue, are located in which city?|New York City|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（地理位置）。
30|Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?|Amy Jo Johnson|Relational|最高结构优先级，用于多跳路径发现（Character -> Series -> Actress）。
31|Who was born first, Pablo Trapero or Aleksander Ford?|Aleksander Ford|Comparative|平衡策略：用于比较两个或多个实体属性（born first）。
32|Are Jane and First for Women both women's magazines?|yes|Comparative|平衡策略：用于比较两个或多个实体属性（Are ... both）。
33|What profession does Nicholas Ray and Elia Kazan have in common?|director|Comparative|平衡策略：用于比较两个或多个实体属性（in common）。
34|Where is the company that purchased Aixam based in?|Roseau, Minnesota, USA|Relational|最高结构优先级，用于多跳路径发现（Company A -> Purchased by Company B -> Base Location）。
35|Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?|The Saimaa Gesture|Comparative|平衡策略：用于比较两个或多个实体属性（Which one...）。
36|Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?|David Lee Roth|Comparative|平衡策略：用于比较两个或多个实体属性（Who... or）。
37|Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?|Nassau County|Relational|最高结构优先级，用于多跳路径发现（School -> Sister School -> County）。
38|The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the New South Wales Police and Mafia, The Honoured Society, is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all of which country?|Australia|Relational|最高结构优先级，用于多跳路径发现（Complex Entity Chain -> Location）。
39|The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?|California|Relational|最高结构优先级，用于多跳路径发现（Squadron -> Base -> County -> State）。
40|The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?|Dessau|Relational|最高结构优先级，用于多跳路径发现（Product -> Manufacturer -> City）。
41|Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula?|Roman Catholic|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（机构属性）。
42|Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?|The Joshua Tree|Relational|最高结构优先级，用于多跳路径发现（Person -> Song -> Album）。
43|Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?|Ulster County|Relational|最高结构优先级，用于多跳路径发现（Album -> Location -> County）。
44|"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?"""|Tammy Wynette|Relational|最高结构优先级，用于多跳路径发现（Person -> Husband -> Song Release Date -> Match）。
45|Who was born first, Francis Nethersole or Elizabeth Stuart?|Sir Francis Nethersole|Comparative|平衡策略：用于比较两个或多个实体属性（born first）。
46|What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?|ingredients in beer|Retrieval|极度依赖语义理解，挖掘概念定义、抽象描述（规定/限制内容）。
47|Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?|Dennis Howard Marks|Relational|最高结构优先级，用于多跳路径发现（Organization -> Member -> Description）。
48|What male actor starred in The Messenger?|Robert Sheehan|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
49|Are Gin and tonic and Paloma both cocktails based on tequila?|no|Comparative|平衡策略：用于比较两个或多个实体属性（Are ... both）。
50|Who is older Glenn Hughes or Ross Lynch?|Glenn Hughes|Comparative|平衡策略：用于比较两个或多个实体属性（older）。
51|"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?"|March 28, 1941|Relational|最高结构优先级，用于多跳路径发现（Theme -> Creator -> Birth Date）。
52|The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?|standard gauge track|Retrieval|极度依赖语义理解，挖掘概念定义（what kind of track）。
53|In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?|Sex and the City|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（奖项关联）。
54|"Lee Jun-fan played what character in ""The Green Hornet"" television series?"|Kato|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（角色扮演）。
55|The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?|England|Relational|最高结构优先级，用于多跳路径发现（Team -> Stadium -> Location -> Country）。
56|A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?|Province of Buenos Aires|Relational|最高结构优先级，用于多跳路径发现（Tour -> Stadium -> Owner）。
57|Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?|Robert Zemeckis|Relational|最高结构优先级，用于多跳路径发现（Writer -> Film -> Director）。
58|The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?|1932|Relational|最高结构优先级，用于多跳路径发现（Description -> Film -> Year）。
59|"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?"|nine|Relational|最高结构优先级，用于多跳路径发现（Song A -> Behind Song B -> Weeks at No. 1）。
60|Which band has more members, Saint Motel or Curve?|Saint Motel|Comparative|平衡策略：用于比较两个或多个实体属性（more members）。
61|"""Funnybot"" is the second episode of the fifteenth season of which American animated television series, created by Trey Parker and Matt Stone?"|South Park|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
62|Which private research university is located in Chestnut Hill, Massachusetts Boston College or Stanford University?|Boston College|Comparative|平衡策略：用于比较两个或多个实体属性（Which ... is located... A or B）。
63|"What American stage, film, and television actor  who also appeared in a large number of musicals, played Samson in the 1949 film ""Samson and Delilah""."|Victor John Mature|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
64|Iqaluit Airport and Canadian North are based out of what country?|Canada|Retrieval|侧重高频共现证据与语义匹配，定位具体地理实体。
65|In what political party was the man who officially opened he Royal Spa Centre in 1972?|Conservative|Relational|最高结构优先级，用于多跳路径发现（Event Opener -> Person -> Political Party）。
66|Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?|Salaam Bombay|Relational|最高结构优先级，用于多跳路径发现（Screenwriter -> Other Work -> Target Film）。
67|Are both Tim McIlrath and Spike Slawson American punk rock musicians?|yes|Comparative|平衡策略：用于比较两个或多个实体属性（Are both...）。
68|"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?"|Zooey Deschanel|Relational|最高结构优先级，用于多跳路径发现（Award Winner -> Film -> Co-star）。
69|"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age?"|15|Relational|最高结构优先级，用于多跳路径发现（Show Mentor -> Person -> Event -> Age）。
70|"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?"|Keyshia Cole|Relational|最高结构优先级，用于多跳路径发现（Album -> Song -> Featured Artist -> Description）。
71|What profession does Am Rong and Alexandre Rockwell have in common?|filmmaker|Comparative|平衡策略：用于比较两个或多个实体属性（in common）。
72|El Nuevo Cojo and Golf Magazine are both special interest publications but which one is owned by Time Inc?|Golf Magazine|Comparative|平衡策略：用于比较两个或多个实体属性（Which one is...）。
73|Who funds the bowling team that includes the school bus driver for Springfield Elementary School?|Mr. Burns|Relational|最高结构优先级，用于多跳路径发现（Driver -> Team -> Funder）。
74|What city are George Washington University Hospital and MedStar Washington Hospital Center located in?|Washington, D.C.|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
75|what is the connection between Peter O'Meara and Norman Dike?|Band of Brothers|Relational|最高结构优先级，用于多跳路径发现（Entity A <-> Entity B -> Connection）。
76|"What author has contributed to such works as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being being associated with Dysteleology?"|Christopher Hitchens|Retrieval|极度依赖语义理解，挖掘概念定义、抽象描述（通过作品和概念定位人物）。
77|Who developed the prototype pacemaker used by the 34th President of the USA?|R Adams Cowley|Relational|最高结构优先级，用于多跳路径发现（President -> Pacemaker -> Developer）。
78|Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?|Dennis Publishing|Relational|最高结构优先级，用于多跳路径发现（Publication -> Sister Publication -> Publisher）。
79|Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?|Garth Brooks|Relational|最高结构优先级，用于多跳路径发现（Album -> Single -> Performer）。
80|Hate to Feel is the tenth track on what Alice in Chains' album that peaked as number six on the Billboard 200?|Dirt|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（虽然有描述，但核心是直接属性查询）。
81|The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?|The Fantastic The|Relational|最高结构优先级，用于多跳路径发现（Band Members -> Band -> Alias）。
82|What year was the winner of the 2016 Marrakesh ePrix born?|1988|Relational|最高结构优先级，用于多跳路径发现（Event Winner -> Person -> Birth Year）。
83|South Korean actor Kim Yool-ho starred in what 2016 movie directed by Yeon Sang-ho Yeon Sang-ho and starring actors Gong Yoo, Jung Yu-mi, and Ma Dong-seok?|Train to Busan|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（电影参演）。
84|According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?|722,664|Relational|最高结构优先级，用于多跳路径发现（Person -> Birth City -> Population）。
85|What actor in the film D.C. Cab also had a role in the TV series Barney Miller?|Max Gail|Comparative|平衡策略：用于比较两个或多个实体属性（Intersection of two sets）。
86|Which industry do Richard Hawley and Chicago's Catherine belong to?|rock band|Comparative|平衡策略：用于比较两个或多个实体属性（Common industry）。
87|Are Pam Veasey and Jon Jost both American?|yes|Comparative|平衡策略：用于比较两个或多个实体属性（Are ... both）。
88|Maurice Hines and his brother were famous for what?|dancer Gregory Hines|Relational|最高结构优先级，用于多跳路径发现（Person -> Brother -> Fame）。
89|Are the New Orleans Outfall Canals the same length as the Augusta Canal?|yes|Comparative|平衡策略：用于比较两个或多个实体属性（same length as）。
90|In which stadium do the teams owned by Myra Kraft's husband play?|Gillette Stadium|Relational|最高结构优先级，用于多跳路径发现（Person -> Husband -> Teams -> Stadium）。
91|What southern California based band covered Blue Öyster Cult's Godzilla?|Fu Manchu|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
92|The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?|CEO of Lionsgate UK & Europe|Relational|最高结构优先级，用于多跳路径发现（Director -> Film -> Producer -> Current Role）。
93|"an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?"|Swoosie Kurtz|Relational|最高结构优先级，用于多跳路径发现（Show -> Episode -> Guest Star）。
94|What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?|Lullwater Estate|Relational|最高结构优先级，用于多跳路径发现（Mayor -> Daughter -> Mansion -> Current Name）。
95|Who invented the type of script used in autographs?|the Sumerians|Retrieval|极度依赖语义理解，挖掘概念定义（script type/origin）。
96|Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?|17%|Relational|最高结构优先级，用于多跳路径发现（Person -> Ethnic Group -> Percentage）。
97|The Boren-McCurdy proposals were partially brought about by which Oklahoma politician in 1992?|David Lyle Boren|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
98|The Thoen Stone is on display at a museum in what county?|Lawrence County|Retrieval|侧重高频共现证据与语义匹配，定位具体地理位置。
99|Is Children's National Medical Center or MedStar Washington Hospital Center the largest private hospital in Washington, D.C.?|MedStar Washington Hospital Center|Comparative|平衡策略：用于比较两个或多个实体属性（largest ... A or B）。
100|Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?|Great Britain|Comparative|平衡策略：用于比较两个或多个实体属性（Entities -> Common Monarch Domain）。
101|The airline operating in Whitehorse, Yukon handled how many passengers in 2012?|294,000|Retrieval|侧重高频共现证据与语义匹配，定位具体统计数据。
102|What State has a Disney Resort & Spa that is a beachside hotel, resort and vacation destination offering complimentary children's activities and programs and that Djuan Rivers was a General Manager at?|Hawaii|Relational|最高结构优先级，用于多跳路径发现（Person -> Workplace -> Location）。
103|Are Wenling and Xinzheng both in China?|yes|Comparative|平衡策略：用于比较两个或多个实体属性（Are both...）。
104|What is the birth date of the coach of the 2014-15 Michigan Wolverines men's basketball team?|February 5, 1953|Relational|最高结构优先级，用于多跳路径发现（Team/Season -> Coach -> Birth Date）。
105|"Which organization presents the award in which Chris Noonan was nominated for his work in ""Babe?"""|Academy of Motion Picture Arts and Sciences|Relational|最高结构优先级，用于多跳路径发现（Person -> Work -> Nomination -> Award -> Organization）。
106|Where is the base of one of the three main British intelligence agencies?|Cheltenham|Retrieval|侧重高频共现证据与语义匹配，定位具体地理实体（GCHQ location）。
107|When a Man Falls in Love, is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and which South Korean actor, born on ?|July 5, 1984|Relational|最高结构优先级，用于多跳路径发现（Series -> Cast -> Filter by Birth Date）。
108|What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?|Target Corporation|Relational|最高结构优先级，用于多跳路径发现（Artist -> Commercial -> Company）。
109|"Which English actor of stage, film and television from the 1978 BBC drama ""Pennies From Heaven"" appeared in the 2006 BBC Four television play ""Kenneth Williams: Fantabulosa!?"""|Cheryl Campbell|Relational|最高结构优先级，用于多跳路径发现（Work A -> Actor -> Work B）。
110|Who hosted both Miss USA 1968 and The Price Is Right?|Bob Barker|Comparative|平衡策略：用于比较两个或多个实体属性（Intersection of roles）。
111|What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series?|F.E.A.R.|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
112|Close to the Enemy starred the English actor known as Ash Morgan in what BBC series?|Hustle|Relational|最高结构优先级，用于多跳路径发现（Film/Show -> Actor -> Character -> Series）。
113|The Bass Rock Lighthouse was next to what Castle?|Tantallon Castle|Relational|最高结构优先级，用于多跳路径发现（Location -> Proximity -> Entity）。
114|Gülhane Park and Zografeion Lyceum, are located in which country?|Turkey|Comparative|平衡策略：用于比较两个或多个实体属性（Common Location）。
115|What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?|10 Rillington Place|Relational|最高结构优先级，用于多跳路径发现（Actor -> Role/Character -> Movie）。
116|What genre of music is the solo artist that contributed to Real Damage a variant of?|synth-pop|Relational|最高结构优先级，用于多跳路径发现（Work -> Artist -> Genre）。
117|Jake David Shapiro was best know for being the screenwriter of a film directed by who?|Roger Christian|Relational|最高结构优先级，用于多跳路径发现（Person -> Screenplay -> Film -> Director）。
118|"What book contains a poem which, along with ""Beowulf"" and the ""Anglo-Saxon Chronicle"", preserves a legendary list of the kings of the Angles?"|Exeter Book|Retrieval|极度依赖语义理解，挖掘概念定义（Literature content/description）。
119|Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?|the Desert Fox|Relational|最高结构优先级，用于多跳路径发现（Person -> Association -> Alias）。
120|What state does Sang-Wook Cheong work as a materials scientist?|New Jersey|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（Person -> Location）。
121|What type of vegetation does Kniphofia and Baptisia have in common?|plant|Comparative|平衡策略：用于比较两个或多个实体属性（in common）。
122|Californian rock band Lit recorded A Place in the Sun in 1995, but what's their best known song?|My Own Worst Enemy|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
123|Gary Harrison, began his career in the 1970s and has written over how many major-label recorded songs including several number-one hits, another artist who have recorded his work include Bryan White, an American country music artist?|300|Retrieval|侧重高频共现证据与语义匹配，定位具体统计数据。
124|The 1976 German Grand Prix was won by a driver who retired in what year?|1979|Relational|最高结构优先级，用于多跳路径发现（Event -> Winner -> Retirement Year）。
125|What event at the Asian Junior Athletics Championships has men and women competing at the same time?|3000 metres steeplechase|Retrieval|极度依赖语义理解，挖掘概念定义（Event Rules/Type）。
126|Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?|Anna Kournikova|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（Complex Filter）。
127|What is the length of the River which has Wild Horse Creek as a tributary ?|375 mi long|Relational|最高结构优先级，用于多跳路径发现（Tributary -> Main River -> Length）。
128|Are Manhattan West and Singer Building both projects in New York?|yes|Comparative|平衡策略：用于比较两个或多个实体属性（Are both...）。
129|Who is the American internet entrepreneur who founded the company featured on 24 Hours on Craigslist?|Craig Newmark|Relational|最高结构优先级，用于多跳路径发现（Work -> Company -> Founder）。
130|Between two tennis players Kim Clijsters and Mary Pierce, who is older?|Mary Pierce|Comparative|平衡策略：用于比较两个或多个实体属性（older）。
131|Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?|St. Olaf College|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（Filter by Date/Affiliation）。
132|Hot Coffee, Mississippi sometimes shares a zipcode with a nearby city with what population at the 2010 census?|2,586|Relational|最高结构优先级，用于多跳路径发现（Location -> Nearby City -> Population）。
133|Jo Ann Terry won the 80m hurdles event at what Sao Paulo-based event from 1963?|Pan American Games|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
134|Pearl Lowe and Alison Goldfrapp, is of which nationality?|English|Comparative|平衡策略：用于比较两个或多个实体属性（Common Nationality）。
135|Which British company whose majority of its business interests are in Asia was related to the London Based Trading house Matheson & Company?|Jardine Matheson|Relational|最高结构优先级，用于多跳路径发现（Company -> Relation -> Company）。
136|What man, also known as mi Sde-Or, created a military self-defense system developed for the Israel Defense Forces?|"Emrich ""Imi"" Lichtenfeld"|Retrieval|极度依赖语义理解，挖掘概念定义（Alias -> Person -> Creation）。
137|Do musicians Robert Fleischman and Jimmy Barnes have the same nationality?|no|Comparative|平衡策略：用于比较两个或多个实体属性（same nationality）。
138|What is the name of this American multinational corporation that provides IT services, headquartered in New Jersey, that acquired Mirabeau?|Cognizant|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（Company Acquisition）。
139|When was Fannie Lee Chaney's son born?|May 30, 1943|Relational|最高结构优先级，用于多跳路径发现（Person -> Son -> Birth Date）。
140|The Canada Memorial in Green Park, London, United Kingdom, commemorates members of the Canadian Forces killed during the First and Second World Wars, the memorial was the result of lobbying and fund raising, much of it in Canada, by the former Canadian media tycoon Conrad Moffat Black, his title is what, of this British former newspaper publisher and author?|Lord Black of Crossharbour|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（Person -> Title）。
141|WNP-3 and WNP-5 were constructed by the agency formed in which year?|1957|Relational|最高结构优先级，用于多跳路径发现（Project -> Agency -> Formation Year）。
142|he Central Harbourfront is a waterfront site it is the result of Central and Wan Chai Reclamation, and it sits to the east of the International Finance Centre (IFC), a skyscraper and an integrated commercial development on the waterfront of the Central District, of which territory?|Hong Kong|Relational|最高结构优先级，用于多跳路径发现（Location -> District -> Territory）。
143|What city does Bundestag and Reichstag building have in common?|Berlin|Comparative|平衡策略：用于比较两个或多个实体属性（in common）。
144|Which musician, Edwyn Collins or Jimmie Ross, played the bass guitar?|Jimmie Ross|Comparative|平衡策略：用于比较两个或多个实体属性（Which ... played）。
145|what is the 3112 acre Pennsylvania state park that took over 11,000 to make due to the wave action of lake Erie called?|Presque Isle|Retrieval|极度依赖语义理解，挖掘概念定义（Description -> Name）。
146|Teri W. Odom is a member of a scientific journal first published in 2007 by who?|the American Chemical Society|Relational|最高结构优先级，用于多跳路径发现（Person -> Journal -> Publisher）。
147|What forensic psychiatrist consulted on numbers cases including one for a contract killer associated with the DeCavalcante crime family?|Park Dietz|Relational|最高结构优先级，用于多跳路径发现（Case/Criminal -> Consultant -> Person）。
148|"Which American singer-songwriter known as ""the Caruso of Rock"", recorded on the Monument Records label and had hits such as ""Pretty One,"" and ""Uptown""?"|Roy Orbison|Retrieval|极度依赖语义理解，挖掘概念定义（Alias/Description -> Person）。
149|"The central character of ""The Adventures of Brer Rabbit"" was later adapted into which 1946 Walt Disney Company motion picture film?"|"""Song of the South""."|Relational|最高结构优先级，用于多跳路径发现（Character -> Adaptation -> Film）。
150|Abraham Weinberg was a suspect in the killing of which Irish-American hitman?|"Vincent ""Mad Dog"" Coll"|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
151|Benjamin Halfpenny was a footballer for a club that plays its home matches where?|Select Security Stadium|Relational|最高结构优先级，用于多跳路径发现（Person -> Club -> Stadium）。
152|The 2000–01 NBA season was the Jazz's 27th season in the National Basketball Association, and 22nd season in Salt Lake City, Utah, after the retirement of Jeff Hornacek, the Jazz signed free agents John Starks, and who?|Danny Manning|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述（Event/Roster）。
153|What was population of the city where the Dutch retired footballer Foeke Booy born?|108,249|Relational|最高结构优先级，用于多跳路径发现（Person -> Birth City -> Population）。
154|In what year was the company that co-developed and distributed the BlackBerry DTEK60 founded?|1984|Relational|最高结构优先级，用于多跳路径发现（Product -> Company -> Founding Year）。
155|Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?|Isabelle Mergault|Relational|最高结构优先级，用于多跳路径发现（Writers -> Film -> Ceremony -> Chair）。
156|Mookychick is an independent daily online magazine and community with more than 100,000 readers a month and over 5,000 forum members, content includes analysis of current sociopolitical events, social and cultural trends, alternative fashion, movies, books, music and arts and crafts from a feminist perspective, in contrast with feminist publications and communities such as which women's lifestyle magazine that is published six times a year, and is published by Debbie Stoller and Laurie Henzel?|BUST|Retrieval|极度依赖语义理解，挖掘概念定义（Description -> Entity Name）。
157|Der Mond was composed by the man who was best known for what cantata?|Carmina Burana|Relational|最高结构优先级，用于多跳路径发现（Work -> Composer -> Best Known Work）。
158|Mackenzie Davis appeared in the 2013 Canadian romantic comedy film directed by whom?|Michael Dowse|Relational|最高结构优先级，用于多跳路径发现（Actor -> Film -> Director）。
159|The Developing Communities Project's first executive director was which former President?|Barack Hussein Obama II|Retrieval|侧重高频共现证据与语义匹配，定位具体事件描述。
160|Jane's Addiction and Weeping Willows, play which genre of music?|rock|Comparative|平衡策略：用于比较两个或多个实体属性（Common Genre）。
